,Player,MPG,PER,OWS,DWS,WS,OBPM,BPM,VORP,Years_Played,Fantasy_PPG
8705,Caron Butler,20.81,9.3,1.3,1.0,2.4,-1.0,-1.5,0.2,13.0,11.852564102564102
8706,Jimmy Butler,38.66,21.3,8.2,3.0,11.2,4.1,4.7,4.2,4.0,37.62692307692308
8707,Rasual Butler,20.07,11.4,1.0,1.6,2.6,-0.8,-1.7,0.1,12.0,13.786666666666667
8708,Dwight Buycks,20.5,13.1,0.1,0.0,0.1,-1.6,-4.9,-0.1,2.0,14.208333333333334
8709,Will Bynum,9.57,4.8,-0.2,0.1,-0.2,-5.8,-9.1,-0.1,8.0,6.785714285714286
8710,Nick Calathes,14.45,12.3,-0.4,1.5,1.1,-2.1,-0.3,0.4,2.0,11.27155172413793
8711,Jose Calderon,30.24,11.3,0.8,0.1,0.9,-0.5,-3.2,-0.4,10.0,20.029761904761905
8712,Kentavious Caldwell-Pope,31.55,11.2,1.1,1.8,2.8,-0.2,-1.0,0.6,2.0,21.585365853658537
8713,Isaiah Canaan,19.96,12.4,0.8,0.7,1.4,0.7,-2.2,-0.1,2.0,16.175531914893618
8714,DeMarre Carroll,31.27,15.9,4.3,2.8,7.0,2.4,2.9,2.7,5.0,24.9
8715,Vince Carter,16.53,9.6,-0.5,1.4,1.0,-1.1,-1.4,0.2,17.0,12.06060606060606
8716,Michael Carter-Williams,32.56,14.1,-2.1,2.9,0.8,-1.6,-0.7,0.7,2.0,30.988636363636363
8717,Omri Casspi,21.13,14.4,2.0,0.6,2.7,0.0,-1.3,0.3,6.0,15.548507462686567
8718,Mario Chalmers,29.6,11.7,0.8,2.0,2.8,-0.6,-1.0,0.6,7.0,21.0625
8719,Wilson Chandler,31.68,13.2,2.1,1.5,3.6,0.5,0.2,1.3,8.0,25.53205128205128
8720,Will Cherry,8.62,5.8,-0.1,0.1,0.0,-4.4,-3.7,0.0,1.0,5.59375
