,Player,MPG,PER,VORP,BPM,OBPM,WS,OWS,DWS
322,T.J. McConnell,22.44736842105263,12.5,0.5,-3.8484123594047297,-0.9177181405463544,3.8,1.3,2.5
323,Erik McCree,2.0,-8.9,0.0,-15.830041836921378,-19.023330789014786,-0.1,-0.1,0.0
324,Chris McCullough,4.7368421052631575,15.8,-0.1,-5.076765396043712,-3.843106412603836,0.2,0.1,0.1
325,Doug McDermott,21.82716049382716,10.4,-0.2,-2.9737986225608504,0.06826048816290764,2.3,1.7,0.5999999999999999
326,JaVale McGee,9.461538461538462,22.3,0.7,-1.480774412327634,0.14193739746919065,2.7,1.7,1.0000000000000002
327,Rodney McGruder,16.61111111111111,12.0,0.1,-3.192772531733324,-4.11752172516865,0.8,0.5,0.30000000000000004
328,Trey McKinney-Jones,1.0,0.0,0.0,-6.106677547556173,-7.829374980945392,0.0,0.0,0.0
329,Alfonzo McKinnie,3.7857142857142856,10.1,0.0,-5.130802133214917,-2.6140126724779913,0.1,0.0,0.1
330,Ben McLemore,19.482142857142858,9.7,-0.4,-4.748443608015777,-3.356232920879761,0.5,-0.2,0.7
331,Josh McRoberts,3.0,-12.5,0.0,-13.099448710976931,-8.971520563974106,0.0,0.0,0.0
332,Jodie Meeks,14.532467532467532,12.4,-0.2,-5.406581183101224,-2.183808459518801,2.0,1.3,0.7
333,Salah Mejri,11.950819672131148,17.8,0.9,2.23203287372622,-1.9206559578328393,2.7,1.3,1.4000000000000001
334,Jordan Mickey,12.347826086956522,10.6,-0.2,-6.838570893091227,-6.7483332403861365,0.3,-0.1,0.4
335,Khris Middleton,36.36585365853659,17.4,1.8,-1.5535483767354648,0.20074424185809558,6.9,4.6,2.3000000000000007
336,C.J. Miles,19.1,13.0,0.5,-1.3003948551698037,0.09011203453700456,2.9,1.4,1.5
337,Darius Miller,23.70731707317073,9.3,0.5,-2.318935634719003,3.1880483323919897,3.0,2.1,0.8999999999999999
338,Malcolm Miller,8.4,8.9,0.0,-3.7062767288870244,-0.4701083076185608,0.2,0.1,0.1
339,Patty Mills,25.695121951219512,11.8,0.9,-2.3446096268267933,-0.9470109845581202,4.1,2.0,2.0999999999999996
340,Paul Millsap,30.07894736842105,17.0,0.8,-2.5835858936447638,-1.2490467050896497,2.5,1.4,1.1
341,Nikola Mirotic,27.163636363636364,18.7,1.0,-0.4722569200623449,-0.6295553038992585,4.0,2.2,1.7999999999999998
342,Donovan Mitchell,33.392405063291136,16.7,2.1,-1.6547126551295013,2.0468262879662786,5.2,1.4,3.8000000000000003
343,Naz Mitrou-Long,1.0,133.8,0.0,51.56199929175307,67.96965130751407,0.1,0.1,0.0
344,Malik Monk,13.555555555555555,10.3,-0.5,-5.420753122919377,-4.188245410301657,0.0,-0.5,0.5
345,Greg Monroe,20.392156862745097,21.2,1.2,0.2357516071860304,-0.9688200483901613,3.4,1.8,1.5999999999999999
346,Luis Montero,4.0,-15.5,0.0,-26.287300744363122,-25.34753782337748,-0.1,-0.1,0.0
347,Ben Moore,4.5,-2.3,0.0,-7.290422747779718,-4.529957480272684,0.0,0.0,0.0
348,E'Twaun Moore,31.536585365853657,12.1,1.2,-0.9358415552152892,0.9573269438218949,4.4,2.8,1.6000000000000005
349,Eric Moreland,12.014925373134329,13.9,0.9,1.6438413668263192,-3.9172921938523677,2.3,0.7,1.5999999999999999
350,Jaylen Morris,16.333333333333332,6.5,-0.1,-8.968434408869468,-7.309860901547351,-0.1,-0.2,0.1
351,Marcus Morris,26.796296296296298,14.5,0.1,-4.049392785713053,-1.5863464080989231,3.2,1.1,2.1
352,Markieff Morris,26.958904109589042,13.2,0.7,-2.508969614819753,-2.5843560775472794,3.3,1.2,2.0999999999999996
353,Monte Morris,8.333333333333334,27.1,0.0,0.6331600751267226,4.890187891883859,0.2,0.1,0.1
354,Johnathan Motley,16.0,17.2,-0.1,-5.29056454601434,-3.6778581341750556,0.3,0.1,0.19999999999999998
355,Timofey Mozgov,11.580645161290322,12.3,-0.2,-4.576528524494166,-3.774762081737581,0.4,0.1,0.30000000000000004
356,Emmanuel Mudiay,19.453125,11.5,-0.9,-5.945736900982976,-3.9489990330985307,0.0,-0.7,0.7
357,Shabazz Muhammad,9.720930232558139,15.4,-0.4,-7.225594252220416,-2.441411115307999,0.7,0.5,0.19999999999999996
358,Xavier Munford,3.5,-2.1,-0.1,-14.908184036632232,-9.270270398882687,-0.1,-0.1,0.0
359,Dejounte Murray,21.51851851851852,15.1,1.4,-1.8793010944381632,-2.3979633461122116,3.2,-0.2,3.4000000000000004
360,Jamal Murray,31.666666666666668,16.1,1.2,-1.4758565652056406,0.09997219207768704,5.5,4.3,1.2000000000000002
361,Mike Muscala,20.0,14.4,0.6,-1.4592921222747266,-0.13884492522000702,2.4,1.5,0.8999999999999999
362,Abdel Nader,10.875,5.1,-0.5,-8.045110113828883,-5.779518856767511,-0.1,-0.9,0.8
363,Larry Nance,21.53030303030303,20.2,1.9,2.8338268433905407,-1.9064751331926293,5.8,3.6,2.1999999999999997
364,Shabazz Napier,20.743243243243242,14.2,0.8,-1.608620422587135,-2.7486646695217134,3.2,1.2,2.0
365,Jameer Nelson,20.26,8.1,-0.5,-5.171946789369672,-5.8673570288615995,0.6,-0.1,0.7
366,Raul Neto,12.146341463414634,11.9,-0.1,-5.868189136450723,-2.38637177754824,0.9,0.3,0.6000000000000001
367,Georges Niang,3.5555555555555554,9.2,0.0,-5.577637136501495,-6.153615433547489,0.0,-0.1,0.1
368,Joakim Noah,5.714285714285714,15.6,0.0,0.20530626988444345,-2.822186289393882,0.1,0.0,0.1
369,Nerlens Noel,15.733333333333333,16.2,0.4,-0.0771650402661368,-4.963927001446173,1.3,0.4,0.9
370,Lucas Nogueira,8.53061224489796,17.3,0.8,4.419312638687209,-1.6093209450611496,1.6,0.7,0.9000000000000001
371,Dirk Nowitzki,24.675324675324674,16.7,1.1,-0.8727851199253747,-0.7289323333554342,4.8,2.6,2.1999999999999997
372,Frank Ntilikina,21.871794871794872,7.0,-0.8,-4.721799042225077,-4.51059152184703,-0.9,-2.0,1.1
373,Jusuf Nurkic,26.430379746835442,19.2,1.2,-2.390615964052515,-3.890471295276531,4.7,0.8,3.9000000000000004
374,David Nwaba,23.514285714285716,12.2,0.1,-3.2396700385221804,-2.8490206299077236,2.4,1.1,1.2999999999999998
375,Johnny O'Bryant,10.527777777777779,11.9,-0.3,-5.54168252583733,-3.8481358795219665,0.3,-0.1,0.4
376,Royce O'Neale,16.666666666666668,10.8,0.4,-3.4149956364258878,-3.78405469091118,2.4,0.5,1.9
377,Kyle O'Quinn,18.01298701298701,20.0,2.3,2.098054033450349,-0.3465620244912639,4.8,2.7,2.0999999999999996
378,Semi Ojeleye,15.753424657534246,4.6,-0.4,-2.5956822168437617,-3.3650609469281445,1.2,-0.2,1.4
379,Emeka Okafor,13.576923076923077,16.4,0.1,-2.4330918278362033,-3.438919309273505,1.0,0.5,0.5
380,Jahlil Okafor,12.607142857142858,15.3,-0.2,-6.033600206664416,-5.618926572000495,0.6,0.3,0.3
381,Victor Oladipo,34.026666666666664,23.1,4.5,2.178355633356758,3.1954717724788795,8.3,4.3,4.000000000000001
382,Kelly Olynyk,23.407894736842106,17.8,2.2,2.1285812972823255,0.9404262577736218,5.5,2.8,2.7
383,Chinanu Onuaku,22.0,-3.2,-0.1,-14.554579718584556,-10.285847528161444,-0.1,-0.1,0.0
384,Cedi Osman,11.01639344262295,11.0,-0.2,-5.274363220585842,-1.8760788077067292,0.9,0.5,0.4
385,Kelly Oubre,27.54320987654321,11.9,0.4,-3.0546156828503093,-2.4258301121699875,3.7,1.4,2.3000000000000003
386,Zaza Pachulia,14.08695652173913,17.0,0.7,-0.917880094122518,-0.12192735459020199,3.3,1.8,1.4999999999999998
387,Marcus Paige,5.6,9.1,0.0,-8.50809383196111,-4.7800614705402396,0.0,0.0,0.0
388,Georgios Papagiannis,7.176470588235294,12.2,-0.1,-5.1903843225917115,-5.955659393703572,0.0,-0.1,0.1
389,Jabari Parker,23.967741935483872,17.1,0.0,-3.013097543968711,-2.096141601136875,1.2,0.6,0.6
390,Tony Parker,19.472727272727273,12.7,-0.6,-5.945814756141033,-2.7217346641699205,1.4,0.4,0.9999999999999999
391,Chandler Parsons,19.194444444444443,13.6,0.1,-2.138534686169006,0.6627767940144568,1.1,0.7,0.40000000000000013
392,Patrick Patterson,15.487804878048781,10.0,0.2,-2.2366241447024886,-2.5122814459299487,2.6,1.2,1.4000000000000001
393,Justin Patton,4.0,19.8,0.0,1.714116822786309,-0.7130832593222691,0.0,0.0,0.0
394,Brandon Paul,9.0,7.5,-0.1,-5.0689357759389555,-4.404344569451857,0.5,-0.3,0.8
395,Chris Paul,31.844827586206897,24.4,4.3,3.7852046979663583,5.817908066130581,10.2,7.5,2.6999999999999993
396,Adreian Payne,8.6,18.8,0.0,-5.5261661789877605,-0.14346898376789527,0.2,0.1,0.1
397,Cameron Payne,23.28,14.0,0.2,0.18801205128989074,-2.616879937986329,0.8,0.3,0.5
398,Elfrid Payton,28.6984126984127,16.5,1.0,-0.9641242706196048,-2.0878062198587366,2.8,1.4,1.4
399,Gary Payton,9.608695652173912,9.8,-0.1,-4.195255162898651,-2.1688766032208378,0.2,0.0,0.2
400,Kendrick Perkins,15.0,8.4,0.0,-6.820545544899462,-6.01335158331616,0.0,0.0,0.0
401,London Perrantes,4.714285714285714,0.7,-0.1,-9.115953516534999,-10.583084010215739,-0.1,-0.1,0.0
402,Alec Peters,11.25,10.7,-0.1,-5.052383419293249,-2.0125407185864743,0.3,0.2,0.09999999999999998
403,Marshall Plumlee,6.5,10.9,0.0,-6.700359605019866,-3.4338292745880556,0.2,0.1,0.1
